code,title,code_title
08.67.00,Skylight Protection and Screens,08.67.00 - Skylight Protection and Screens
08.70.00,Hardware,08.70.00 - Hardware
08.71.00,Door Hardware,08.71.00 - Door Hardware
08.74.00,Access Control Hardware,08.74.00 - Access Control Hardware
08.75.00,Window Hardware,08.75.00 - Window Hardware
08.78.00,Special Function Hardware,08.78.00 - Special Function Hardware
08.79.00,Hardware Accessories,08.79.00 - Hardware Accessories
08.80.00,Glazing,08.80.00 - Glazing
08.81.00,Glass Glazing,08.81.00 - Glass Glazing
08.83.00,Mirrors,08.83.00 - Mirrors
08.84.00,Plastic Glazing,08.84.00 - Plastic Glazing
08.85.00,Glazing Accessories,08.85.00 - Glazing Accessories
08.87.00,Glazing Surface Films,08.87.00 - Glazing Surface Films
08.88.00,Special Function Glazing,08.88.00 - Special Function Glazing
08.90.00,Louvers and Vents,08.90.00 - Louvers and Vents
08.91.00,Louvers,08.91.00 - Louvers
08.92.00,Louvered Equipment Enclosures,08.92.00 - Louvered Equipment Enclosures
08.95.00,Vents,08.95.00 - Vents
09.00.00,Finishes,09.00.00 - Finishes
09.01.00,Maintenance of Finishes,09.01.00 - Maintenance of Finishes
09.05.00,Common Work Results for Finishes,09.05.00 - Common Work Results for Finishes
09.06.00,Schedules for Finishes,09.06.00 - Schedules for Finishes
09.06.00.13,Room Finish Schedule,09.06.00.13 - Room Finish Schedule
09.08.00,Commissioning of Finishes,09.08.00 - Commissioning of Finishes
09.10.00,Unassigned,09.10.00 - Unassigned
09.20.00,Plaster and Gypsum Board,09.20.00 - Plaster and Gypsum Board
09.21.00,Plaster and Gypsum Board Assemblies,09.21.00 - Plaster and Gypsum Board Assemblies
09.22.00,Supports for Plaster and Gypsum Board,09.22.00 - Supports for Plaster and Gypsum Board
09.23.00,Gypsum Plastering,09.23.00 - Gypsum Plastering
09.24.00,Portland Cement Plastering,09.24.00 - Portland Cement Plastering
09.25.00,Other Plastering,09.25.00 - Other Plastering
09.26.00,Veneer Plastering,09.26.00 - Veneer Plastering
09.27.00,Plaster Fabrications,09.27.00 - Plaster Fabrications
09.28.00,Backing Boards and Underlayments,09.28.00 - Backing Boards and Underlayments
09.29.00,Gypsum Board,09.29.00 - Gypsum Board
09.30.00,Tiling,09.30.00 - Tiling
09.31.00,Thin-Set Tiling,09.31.00 - Thin-Set Tiling
09.32.00,Mortar-Bed Tiling,09.32.00 - Mortar-Bed Tiling
09.33.00,Conductive Tiling,09.33.00 - Conductive Tiling
09.34.00,Waterproofing-Membrane Tiling,09.34.00 - Waterproofing-Membrane Tiling
09.35.00,Chemical-Resistant Tiling,09.35.00 - Chemical-Resistant Tiling
09.40.00,Unassigned,09.40.00 - Unassigned
09.50.00,Ceilings,09.50.00 - Ceilings
09.51.00,Acoustical Ceilings,09.51.00 - Acoustical Ceilings
09.53.00,Acoustical Ceiling Suspension Assemblies,09.53.00 - Acoustical Ceiling Suspension Assemblies
09.54.00,Specialty Ceilings,09.54.00 - Specialty Ceilings
09.56.00,Textured Ceilings,09.56.00 - Textured Ceilings
09.57.00,Special Function Ceilings,09.57.00 - Special Function Ceilings
09.58.00,Integrated Ceiling Assemblies,09.58.00 - Integrated Ceiling Assemblies
09.60.00,Flooring,09.60.00 - Flooring
09.61.00,Flooring Treatment,09.61.00 - Flooring Treatment
09.62.00,Specialty Flooring,09.62.00 - Specialty Flooring
09.63.00,Masonry Flooring,09.63.00 - Masonry Flooring
09.64.00,Wood Flooring,09.64.00 - Wood Flooring
09.65.00,Resilient Flooring,09.65.00 - Resilient Flooring
09.66.00,Terrazzo Flooring,09.66.00 - Terrazzo Flooring
09.67.00,Fluid-Applied Flooring,09.67.00 - Fluid-Applied Flooring
09.68.00,Carpeting,09.68.00 - Carpeting
09.69.00,Access Flooring,09.69.00 - Access Flooring
09.70.00,Wall Finishes,09.70.00 - Wall Finishes
09.72.00,Wall Coverings,09.72.00 - Wall Coverings
09.73.00,Wall Carpeting,09.73.00 - Wall Carpeting
09.74.00,Flexible Wood Sheets,09.74.00 - Flexible Wood Sheets
09.75.00,Stone Facing,09.75.00 - Stone Facing
09.76.00,Plastic Blocks,09.76.00 - Plastic Blocks
09.77.00,Special Wall Surfacing,09.77.00 - Special Wall Surfacing
09.80.00,Acoustic Treatment,09.80.00 - Acoustic Treatment
09.81.00,Acoustic Insulation,09.81.00 - Acoustic Insulation
09.83.00,Acoustic Finishes,09.83.00 - Acoustic Finishes
09.84.00,Acoustic Room Components,09.84.00 - Acoustic Room Components
09.90.00,Painting and Coating,09.90.00 - Painting and Coating
09.91.00,Painting,09.91.00 - Painting
09.93.00,Staining and Transparent Finishing,09.93.00 - Staining and Transparent Finishing
09.94.00,Decorative Finishing,09.94.00 - Decorative Finishing
09.96.00,High-Performance Coatings,09.96.00 - High-Performance Coatings
09.97.00,Special Coatings,09.97.00 - Special Coatings
10.00.00,Specialties,10.00.00 - Specialties
10.01.00,Operation and Maintenance of Specialties,10.01.00 - Operation and Maintenance of Specialties
10.05.00,Common Work Results for Specialties,10.05.00 - Common Work Results for Specialties
10.06.00,Schedules for Specialties,10.06.00 - Schedules for Specialties
10.08.00,Commissioning of Specialties,10.08.00 - Commissioning of Specialties
10.10.00,Information Specialties,10.10.00 - Information Specialties
10.11.00,Visual Display Surfaces,10.11.00 - Visual Display Surfaces
10.12.00,Display Cases,10.12.00 - Display Cases
10.13.00,Directories,10.13.00 - Directories
10.14.00,Signage,10.14.00 - Signage
10.17.00,Telephone Specialties,10.17.00 - Telephone Specialties
10.18.00,Informational Kiosks,10.18.00 - Informational Kiosks
10.20.00,Interior Specialties,10.20.00 - Interior Specialties
10.21.00,Compartments and Cubicles,10.21.00 - Compartments and Cubicles
10.22.00,Partitions,10.22.00 - Partitions
10.25.00,Service Walls,10.25.00 - Service Walls
10.26.00,Wall and Door Protection,10.26.00 - Wall and Door Protection
10.28.00,"Toilet, Bath, and Laundry Accessories","10.28.00 - Toilet, Bath, and Laundry Accessories"
10.30.00,Fireplaces and Stoves,10.30.00 - Fireplaces and Stoves
10.31.00,Manufactured Fireplaces,10.31.00 - Manufactured Fireplaces
10.32.00,Fireplace Specialties,10.32.00 - Fireplace Specialties
10.35.00,Stoves,10.35.00 - Stoves
10.40.00,Safety Specialties,10.40.00 - Safety Specialties
10.41.00,Emergency Access and Information Cabinets,10.41.00 - Emergency Access and Information Cabinets
10.43.00,Emergency Aid Specialties,10.43.00 - Emergency Aid Specialties
10.44.00,Fire Protection Specialties,10.44.00 - Fire Protection Specialties
10.50.00,Storage Specialties,10.50.00 - Storage Specialties
10.51.00,Lockers,10.51.00 - Lockers
10.55.00,Postal Specialties,10.55.00 - Postal Specialties
10.56.00,Storage Assemblies,10.56.00 - Storage Assemblies
10.57.00,Wardrobe and Closet Specialties,10.57.00 - Wardrobe and Closet Specialties
10.60.00,Unassigned,10.60.00 - Unassigned
10.70.00,Exterior Specialties,10.70.00 - Exterior Specialties
10.71.00,Exterior Protection,10.71.00 - Exterior Protection
10.73.00,Protective Covers,10.73.00 - Protective Covers
10.74.00,Manufactured Exterior Specialties,10.74.00 - Manufactured Exterior Specialties
10.75.00,Flagpoles,10.75.00 - Flagpoles
10.80.00,Other Specialties,10.80.00 - Other Specialties
10.81.00,Pest Control Devices,10.81.00 - Pest Control Devices
10.82.00,Grilles and Screens,10.82.00 - Grilles and Screens
10.83.00,Flags and Banners,10.83.00 - Flags and Banners
10.86.00,Security Mirrors and Domes,10.86.00 - Security Mirrors and Domes
10.88.00,Scales,10.88.00 - Scales
10.90.00,Unassigned,10.90.00 - Unassigned
11.00.00,Equipment,11.00.00 - Equipment
11.01.00,Operation and Maintenance of Equipment,11.01.00 - Operation and Maintenance of Equipment
11.05.00,Common Work Results for Equipment,11.05.00 - Common Work Results for Equipment
11.06.00,Schedules for Equipment,11.06.00 - Schedules for Equipment
11.08.00,Commissioning of Equipment,11.08.00 - Commissioning of Equipment
11.10.00,Vehicle and Pedestrian Equipment,11.10.00 - Vehicle and Pedestrian Equipment
11.11.00,Vehicle Service Equipment,11.11.00 - Vehicle Service Equipment
11.12.00,Parking Control Equipment,11.12.00 - Parking Control Equipment
11.13.00,Loading Dock Equipment,11.13.00 - Loading Dock Equipment
11.14.00,Pedestrian Control Equipment,11.14.00 - Pedestrian Control Equipment
11.15.00,"Security, Detention and Banking Equipment","11.15.00 - Security, Detention and Banking Equipment"
11.16.00,Vault Equipment,11.16.00 - Vault Equipment
11.17.00,Teller and Service Equipment,11.17.00 - Teller and Service Equipment
11.18.00,Security Equipment,11.18.00 - Security Equipment
11.19.00,Detention Equipment,11.19.00 - Detention Equipment
11.20.00,Commercial Equipment,11.20.00 - Commercial Equipment
11.21.00,Mercantile and Service Equipment,11.21.00 - Mercantile and Service Equipment
11.22.00,Refrigerated Display Equipment,11.22.00 - Refrigerated Display Equipment
11.23.00,Commercial Laundry and Dry Cleaning Equipment,11.23.00 - Commercial Laundry and Dry Cleaning Equipment
11.24.00,Maintenance Equipment,11.24.00 - Maintenance Equipment
11.25.00,Hospitality Equipment,11.25.00 - Hospitality Equipment
11.26.00,Unit Kitchens,11.26.00 - Unit Kitchens
11.27.00,Photographic Processing Equipment,11.27.00 - Photographic Processing Equipment
11.28.00,Office Equipment,11.28.00 - Office Equipment
11.29.00,"Postal, Packaging, and Shipping Equipment","11.29.00 - Postal, Packaging, and Shipping Equipment"
11.30.00,Residential Equipment,11.30.00 - Residential Equipment
11.31.00,Residential Appliances,11.31.00 - Residential Appliances
11.33.00,Retractable Stairs,11.33.00 - Retractable Stairs
11.40.00,Foodservice Equipment,11.40.00 - Foodservice Equipment
11.41.00,Food Storage Equipment,11.41.00 - Food Storage Equipment
11.42.00,Food Preparation Equipment,11.42.00 - Food Preparation Equipment
11.43.00,Food Delivery Carts and Conveyors,11.43.00 - Food Delivery Carts and Conveyors
11.44.00,Food Cooking Equipment,11.44.00 - Food Cooking Equipment
11.46.00,Food Dispensing Equipment,11.46.00 - Food Dispensing Equipment
11.47.00,Ice Machines,11.47.00 - Ice Machines
11.48.00,Cleaning and Disposal Equipment,11.48.00 - Cleaning and Disposal Equipment
11.50.00,Educational and Scientific Equipment,11.50.00 - Educational and Scientific Equipment
11.51.00,Library Equipment,11.51.00 - Library Equipment
11.52.00,Audio-Visual Equipment,11.52.00 - Audio-Visual Equipment
11.53.00,Laboratory Equipment,11.53.00 - Laboratory Equipment
11.55.00,Planetarium Equipment,11.55.00 - Planetarium Equipment
11.56.00,Observatory Equipment,11.56.00 - Observatory Equipment
11.57.00,Vocational Shop Equipment,11.57.00 - Vocational Shop Equipment
11.59.00,Exhibit Equipment,11.59.00 - Exhibit Equipment
11.60.00,Entertainment Equipment,11.60.00 - Entertainment Equipment
11.61.00,Theater and Stage Equipment,11.61.00 - Theater and Stage Equipment
11.62.00,Musical Equipment,11.62.00 - Musical Equipment
11.65.00,Athletic and Recreational Equipment,11.65.00 - Athletic and Recreational Equipment
11.66.00,Athletic Equipment,11.66.00 - Athletic Equipment
11.67.00,Recreational Equipment,11.67.00 - Recreational Equipment
11.68.00,Play Field Equipment and Structures,11.68.00 - Play Field Equipment and Structures
11.70.00,Healthcare Equipment,11.70.00 - Healthcare Equipment
11.71.00,Medical Sterilizing Equipment,11.71.00 - Medical Sterilizing Equipment
11.72.00,Examination and Treatment Equipment,11.72.00 - Examination and Treatment Equipment
11.73.00,Patient Care Equipment,11.73.00 - Patient Care Equipment
11.74.00,Dental Equipment,11.74.00 - Dental Equipment
11.75.00,Optical Equipment,11.75.00 - Optical Equipment
11.76.00,Operating Room Equipment,11.76.00 - Operating Room Equipment
11.77.00,Radiology Equipment,11.77.00 - Radiology Equipment
11.78.00,Mortuary Equipment,11.78.00 - Mortuary Equipment
11.79.00,Therapy Equipment,11.79.00 - Therapy Equipment
11.80.00,Collection and Disposal Equipment,11.80.00 - Collection and Disposal Equipment
11.82.00,Solid Waste Handling Equipment,11.82.00 - Solid Waste Handling Equipment
11.90.00,Other Equipment,11.90.00 - Other Equipment
11.91.00,Religious Equipment,11.91.00 - Religious Equipment
11.92.00,Agricultural Equipment,11.92.00 - Agricultural Equipment
11.93.00,Horticultural Equipment,11.93.00 - Horticultural Equipment
12.00.00,Furnishings,12.00.00 - Furnishings
12.01.00,Operation and Maintenance of Furnishings,12.01.00 - Operation and Maintenance of Furnishings
12.05.00,Common Work Results for Furnishings,12.05.00 - Common Work Results for Furnishings
12.06.00,Schedules for Furnishings,12.06.00 - Schedules for Furnishings
12.08.00,Commissioning of Furnishings,12.08.00 - Commissioning of Furnishings
12.10.00,Art,12.10.00 - Art
12.11.00,Murals,12.11.00 - Murals
12.12.00,Wall Decorations,12.12.00 - Wall Decorations
12.14.00,Sculptures,12.14.00 - Sculptures
12.17.00,Art Glass,12.17.00 - Art Glass
12.19.00,Religious Art,12.19.00 - Religious Art
12.20.00,Window Treatments,12.20.00 - Window Treatments
12.21.00,Window Blinds,12.21.00 - Window Blinds
12.22.00,Curtains and Drapes,12.22.00 - Curtains and Drapes
12.23.00,Interior Shutters,12.23.00 - Interior Shutters
12.24.00,Window Shades,12.24.00 - Window Shades
12.25.00,Window Treatment Operating Hardware,12.25.00 - Window Treatment Operating Hardware
12.30.00,Casework,12.30.00 - Casework
12.31.00,Manufactured Metal Casework,12.31.00 - Manufactured Metal Casework
12.32.00,Manufactured Wood Casework,12.32.00 - Manufactured Wood Casework
12.34.00,Manufactured Plastic Casework,12.34.00 - Manufactured Plastic Casework
12.35.00,Specialty Casework,12.35.00 - Specialty Casework
12.36.00,Countertops,12.36.00 - Countertops
12.40.00,Furnishings and Accessories,12.40.00 - Furnishings and Accessories
12.41.00,Office Accessories,12.41.00 - Office Accessories
12.42.00,Table Accessories,12.42.00 - Table Accessories
12.43.00,Portable Lamps,12.43.00 - Portable Lamps
12.44.00,Bath Furnishings,12.44.00 - Bath Furnishings
12.45.00,Bedroom Furnishings,12.45.00 - Bedroom Furnishings
12.46.00,Furnishing Accessories,12.46.00 - Furnishing Accessories
12.48.00,Rugs and Mats,12.48.00 - Rugs and Mats
12.50.00,Furniture,12.50.00 - Furniture
12.51.00,Office Furniture,12.51.00 - Office Furniture
12.52.00,Seating,12.52.00 - Seating
12.53.00,Retail Furniture,12.53.00 - Retail Furniture
12.54.00,Hospitality Furniture,12.54.00 - Hospitality Furniture
12.55.00,Detention Furniture,12.55.00 - Detention Furniture
12.56.00,Institutional Furniture,12.56.00 - Institutional Furniture
12.57.00,Industrial Furniture,12.57.00 - Industrial Furniture
12.58.00,Residential Furniture,12.58.00 - Residential Furniture
12.59.00,Systems Furniture,12.59.00 - Systems Furniture
12.60.00,Multiple Seating,12.60.00 - Multiple Seating
12.61.00,Fixed Audience Seating,12.61.00 - Fixed Audience Seating
12.62.00,Portable Audience Seating,12.62.00 - Portable Audience Seating
12.63.00,Stadium and Arena Seating,12.63.00 - Stadium and Arena Seating
12.64.00,Booths and Tables,12.64.00 - Booths and Tables
12.65.00,Multiple-Use Fixed Seating,12.65.00 - Multiple-Use Fixed Seating
12.66.00,Telescoping Stands,12.66.00 - Telescoping Stands
12.67.00,Pews and Benches,12.67.00 - Pews and Benches
12.68.00,Seat and Table Assemblies,12.68.00 - Seat and Table Assemblies
12.70.00,Unassigned,12.70.00 - Unassigned
12.80.00,Unassigned,12.80.00 - Unassigned
12.90.00,Other Furnishings,12.90.00 - Other Furnishings
12.92.00,Interior Planters and Artificial Plants,12.92.00 - Interior Planters and Artificial Plants
12.93.00,Site Furnishings,12.93.00 - Site Furnishings
13.00.00,Special Construction,13.00.00 - Special Construction
13.01.00,Operation and Maintenance of Special Construction,13.01.00 - Operation and Maintenance of Special Construction
13.05.00,Common Work Results for Special Construction,13.05.00 - Common Work Results for Special Construction
13.06.00,Schedules for Special Construction,13.06.00 - Schedules for Special Construction
13.08.00,Commissioning of Special Construction,13.08.00 - Commissioning of Special Construction
13.10.00,Special Facility Components,13.10.00 - Special Facility Components
13.11.00,Swimming Pools,13.11.00 - Swimming Pools
13.12.00,Fountains,13.12.00 - Fountains
13.13.00,Aquariums,13.13.00 - Aquariums
13.14.00,Amusement Park Structures and Equipment,13.14.00 - Amusement Park Structures and Equipment
13.17.00,Tubs and Pools,13.17.00 - Tubs and Pools
13.18.00,Ice Rinks,13.18.00 - Ice Rinks
13.19.00,Kennels and Animal Shelters,13.19.00 - Kennels and Animal Shelters
13.20.00,Special Purpose Rooms,13.20.00 - Special Purpose Rooms
13.21.00,Controlled Environment Rooms,13.21.00 - Controlled Environment Rooms
13.22.00,Office Shelters and Booths,13.22.00 - Office Shelters and Booths
13.23.00,Planetariums,13.23.00 - Planetariums
13.24.00,Special Activity Rooms,13.24.00 - Special Activity Rooms
13.26.00,Fabricated Rooms,13.26.00 - Fabricated Rooms
13.27.00,Vaults,13.27.00 - Vaults
13.28.00,Athletic and Recreational Special Construction,13.28.00 - Athletic and Recreational Special Construction
13.30.00,Special Structures,13.30.00 - Special Structures
13.31.00,Fabric Structures,13.31.00 - Fabric Structures
13.32.00,Space Frames,13.32.00 - Space Frames
13.33.00,Geodesic Structures,13.33.00 - Geodesic Structures
13.34.00,Fabricated Engineered Structures,13.34.00 - Fabricated Engineered Structures
13.36.00,Towers,13.36.00 - Towers
13.40.00,Integrated Construction,13.40.00 - Integrated Construction
13.42.00,Building Modules,13.42.00 - Building Modules
13.44.00,Modular Mezzanines,13.44.00 - Modular Mezzanines
13.48.00,"Sound, Vibration, and Seismic Control","13.48.00 - Sound, Vibration, and Seismic Control"
13.49.00,Radiation Protection,13.49.00 - Radiation Protection
13.50.00,Special Instrumentation,13.50.00 - Special Instrumentation
13.51.00,Stress Instrumentation,13.51.00 - Stress Instrumentation
13.52.00,Seismic Instrumentation,13.52.00 - Seismic Instrumentation
13.53.00,Meteorological Instrumentation,13.53.00 - Meteorological Instrumentation
13.60.00,Unassigned,13.60.00 - Unassigned
13.70.00,Unassigned,13.70.00 - Unassigned
13.80.00,Unassigned,13.80.00 - Unassigned
13.90.00,Unassigned,13.90.00 - Unassigned
14.00.00,Conveying Equipment,14.00.00 - Conveying Equipment
14.01.00,Operation and Maintenance of Conveying Equipment,14.01.00 - Operation and Maintenance of Conveying Equipment
14.05.00,Common Work Results for Conveying Equipment,14.05.00 - Common Work Results for Conveying Equipment
14.06.00,Schedules for Conveying Equipment,14.06.00 - Schedules for Conveying Equipment
14.08.00,Commissioning of Conveying Equipment,14.08.00 - Commissioning of Conveying Equipment
14.10.00,Dumbwaiters,14.10.00 - Dumbwaiters
14.11.00,Manual Dumbwaiters,14.11.00 - Manual Dumbwaiters
14.12.00,Electric Dumbwaiters,14.12.00 - Electric Dumbwaiters
14.14.00,Hydraulic Dumbwaiters,14.14.00 - Hydraulic Dumbwaiters
14.20.00,Elevators,14.20.00 - Elevators
14.21.00,Electric Traction Elevators,14.21.00 - Electric Traction Elevators
14.24.00,Hydraulic Elevators,14.24.00 - Hydraulic Elevators
14.26.00,Limited-Use/Limited-Application Elevators,14.26.00 - Limited-Use/Limited-Application Elevators
14.27.00,Custom Elevator Cabs,14.27.00 - Custom Elevator Cabs
14.28.00,Elevator Equipment and Controls,14.28.00 - Elevator Equipment and Controls
14.30.00,Escalators and Moving Walks,14.30.00 - Escalators and Moving Walks
14.31.00,Escalators,14.31.00 - Escalators
14.32.00,Moving Walks,14.32.00 - Moving Walks
14.33.00,Moving Ramps,14.33.00 - Moving Ramps
14.40.00,Lifts,14.40.00 - Lifts
14.41.00,People Lifts,14.41.00 - People Lifts
14.42.00,Wheelchair Lifts,14.42.00 - Wheelchair Lifts
14.43.00,Platform Lifts,14.43.00 - Platform Lifts
14.44.00,Sidewalk Lifts,14.44.00 - Sidewalk Lifts
14.45.00,Vehicle Lifts,14.45.00 - Vehicle Lifts
14.50.00,Unassigned,14.50.00 - Unassigned
14.60.00,Unassigned,14.60.00 - Unassigned
14.70.00,Turntables,14.70.00 - Turntables
14.71.00,Industrial Turntables,14.71.00 - Industrial Turntables
14.72.00,Hospitality Turntables,14.72.00 - Hospitality Turntables
14.73.00,Exhibit Turntables,14.73.00 - Exhibit Turntables
14.74.00,Entertainment Turntables,14.74.00 - Entertainment Turntables
14.80.00,Scaffolding,14.80.00 - Scaffolding
14.81.00,Suspended Scaffolding,14.81.00 - Suspended Scaffolding
14.82.00,Rope Climbers,14.82.00 - Rope Climbers
14.83.00,Elevating Platforms,14.83.00 - Elevating Platforms
14.84.00,Powered Scaffolding,14.84.00 - Powered Scaffolding
14.90.00,Other Conveying Equipment,14.90.00 - Other Conveying Equipment
14.91.00,Facility Chutes,14.91.00 - Facility Chutes
14.92.00,Pneumatic Tube Systems,14.92.00 - Pneumatic Tube Systems
21.00.00,Fire Suppression,21.00.00 - Fire Suppression
21.01.00,Operation and Maintenance of Fire Suppression,21.01.00 - Operation and Maintenance of Fire Suppression
21.05.00,Common Work Results for Fire Suppression,21.05.00 - Common Work Results for Fire Suppression
21.06.00,Schedules for Fire Suppression,21.06.00 - Schedules for Fire Suppression
21.07.00,Fire Suppression Systems Insulation,21.07.00 - Fire Suppression Systems Insulation
21.08.00,Commissioning of Fire Suppression,21.08.00 - Commissioning of Fire Suppression
21.09.00,Instrumentation and Control for Fire-Suppression Systems,21.09.00 - Instrumentation and Control for Fire-Suppression Systems
21.10.00,Water-Based Fire-Suppression Systems,21.10.00 - Water-Based Fire-Suppression Systems
21.11.00,Facility Fire-Suppression Water-Service Piping,21.11.00 - Facility Fire-Suppression Water-Service Piping
21.12.00,Fire-Suppression Standpipes,21.12.00 - Fire-Suppression Standpipes
21.13.00,Fire-Suppression Sprinkler Systems,21.13.00 - Fire-Suppression Sprinkler Systems
21.20.00,Fire-Extinguishing Systems,21.20.00 - Fire-Extinguishing Systems
21.21.00,Carbon-Dioxide Fire-Extinguishing Systems,21.21.00 - Carbon-Dioxide Fire-Extinguishing Systems
21.22.00,Clean-Agent Fire-Extinguishing Systems,21.22.00 - Clean-Agent Fire-Extinguishing Systems
21.23.00,Wet-Chemical Fire-Extinguishing Systems,21.23.00 - Wet-Chemical Fire-Extinguishing Systems
21.24.00,Dry-Chemical Fire-Extinguishing Systems,21.24.00 - Dry-Chemical Fire-Extinguishing Systems
21.30.00,Fire Pumps,21.30.00 - Fire Pumps
21.31.00,Centrifugal Fire Pumps,21.31.00 - Centrifugal Fire Pumps
21.32.00,Vertical-Turbine Fire Pumps,21.32.00 - Vertical-Turbine Fire Pumps
21.33.00,Positive-Displacement Fire Pumps,21.33.00 - Positive-Displacement Fire Pumps
21.40.00,Fire-Suppression Water Storage,21.40.00 - Fire-Suppression Water Storage
21.41.00,Storage Tanks for Fire-Suppression Water,21.41.00 - Storage Tanks for Fire-Suppression Water
21.50.00,Unassigned,21.50.00 - Unassigned
21.60.00,Unassigned,21.60.00 - Unassigned
21.70.00,Unassigned,21.70.00 - Unassigned
21.80.00,Unassigned,21.80.00 - Unassigned
21.90.00,Unassigned,21.90.00 - Unassigned
22.00.00,Plumbing,22.00.00 - Plumbing
22.01.00,Operation and Maintenance of Plumbing,22.01.00 - Operation and Maintenance of Plumbing
22.05.00,Common Work Results for Plumbing,22.05.00 - Common Work Results for Plumbing
22.06.00,Schedules for Plumbing,22.06.00 - Schedules for Plumbing
22.07.00,Plumbing Insulation,22.07.00 - Plumbing Insulation
22.08.00,Commissioning of Plumbing,22.08.00 - Commissioning of Plumbing
22.09.00,Instrumentation and Control for Plumbing,22.09.00 - Instrumentation and Control for Plumbing
22.10.00,Plumbing Piping and Pumps,22.10.00 - Plumbing Piping and Pumps
22.11.00,Facility Water Distribution,22.11.00 - Facility Water Distribution
22.12.00,Facility Potable-Water Storage Tanks,22.12.00 - Facility Potable-Water Storage Tanks
22.13.00,Facility Sanitary Sewerage,22.13.00 - Facility Sanitary Sewerage
22.14.00,Facility Storm Drainage,22.14.00 - Facility Storm Drainage
22.15.00,General Service Compressed-Air Systems,22.15.00 - General Service Compressed-Air Systems
22.20.00,Unassigned,22.20.00 - Unassigned
22.30.00,Plumbing Equipment,22.30.00 - Plumbing Equipment
22.31.00,Domestic Water Softeners,22.31.00 - Domestic Water Softeners
22.32.00,Domestic Water Filtration Equipment,22.32.00 - Domestic Water Filtration Equipment
22.33.00,Electric Domestic Water Heaters,22.33.00 - Electric Domestic Water Heaters
22.34.00,Fuel-Fired Domestic Water Heaters,22.34.00 - Fuel-Fired Domestic Water Heaters
22.35.00,Domestic Water Heat Exchangers,22.35.00 - Domestic Water Heat Exchangers
22.40.00,Plumbing Fixtures,22.40.00 - Plumbing Fixtures
22.41.00,Residential Plumbing Fixtures,22.41.00 - Residential Plumbing Fixtures
22.42.00,Commercial Plumbing Fixtures,22.42.00 - Commercial Plumbing Fixtures
22.43.00,Healthcare Plumbing Fixtures,22.43.00 - Healthcare Plumbing Fixtures
22.45.00,Emergency Plumbing Fixtures,22.45.00 - Emergency Plumbing Fixtures
22.46.00,Security Plumbing Fixtures,22.46.00 - Security Plumbing Fixtures
22.47.00,Drinking Fountains and Water Coolers,22.47.00 - Drinking Fountains and Water Coolers
22.50.00,Pool and Fountain Plumbing Systems,22.50.00 - Pool and Fountain Plumbing Systems
22.51.00,Swimming Pool Plumbing Systems,22.51.00 - Swimming Pool Plumbing Systems
22.52.00,Fountain Plumbing Systems,22.52.00 - Fountain Plumbing Systems
22.60.00,Gas and Vacuum Systems for Laboratory and Healthcare Facilities,22.60.00 - Gas and Vacuum Systems for Laboratory and Healthcare Facilities
22.61.00,Compressed-Air Systems for Laboratory and Healthcare Facilities,22.61.00 - Compressed-Air Systems for Laboratory and Healthcare Facilities
22.62.00,Vacuum Systems for Laboratory and Healthcare Facilities,22.62.00 - Vacuum Systems for Laboratory and Healthcare Facilities
22.63.00,Gas Systems for Laboratory and Healthcare Facilities,22.63.00 - Gas Systems for Laboratory and Healthcare Facilities
22.66.00,Chemical-Waste Systems for Laboratory and Healthcare Facilities,22.66.00 - Chemical-Waste Systems for Laboratory and Healthcare Facilities
22.67.00,Processed Water Systems for Laboratory and Healthcare Facilities,22.67.00 - Processed Water Systems for Laboratory and Healthcare Facilities
22.70.00,Unassigned,22.70.00 - Unassigned
22.80.00,Unassigned,22.80.00 - Unassigned
22.90.00,Unassigned,22.90.00 - Unassigned
23.00.00,"Heating, Ventilating, and Air-Conditioning (HVAC)","23.00.00 - Heating, Ventilating, and Air-Conditioning (HVAC)"
23.01.00,Operation and Maintenance of HVAC Systems,23.01.00 - Operation and Maintenance of HVAC Systems
23.05.00,Common Work Results for HVAC,23.05.00 - Common Work Results for HVAC
23.06.00,Schedules for HVAC,23.06.00 - Schedules for HVAC
23.07.00,HVAC Insulation,23.07.00 - HVAC Insulation
23.08.00,Commissioning of HVAC,23.08.00 - Commissioning of HVAC
23.09.00,Instrumentation and Control for HVAC,23.09.00 - Instrumentation and Control for HVAC
23.10.00,Facility Fuel Systems,23.10.00 - Facility Fuel Systems
23.11.00,Facility Fuel Piping,23.11.00 - Facility Fuel Piping
23.12.00,Facility Fuel Pumps,23.12.00 - Facility Fuel Pumps
23.13.00,Facility Fuel-Storage Tanks,23.13.00 - Facility Fuel-Storage Tanks
23.20.00,HVAC Piping and Pumps,23.20.00 - HVAC Piping and Pumps
23.21.00,Hydronic Piping and Pumps,23.21.00 - Hydronic Piping and Pumps
23.22.00,Steam and Condensate Piping and Pumps,23.22.00 - Steam and Condensate Piping and Pumps
23.23.00,Refrigerant Piping,23.23.00 - Refrigerant Piping
23.24.00,Internal-Combustion Engine Piping,23.24.00 - Internal-Combustion Engine Piping
23.25.00,HVAC Water Treatment,23.25.00 - HVAC Water Treatment
23.30.00,HVAC Air Distribution,23.30.00 - HVAC Air Distribution
23.31.00,HVAC Ducts and Casings,23.31.00 - HVAC Ducts and Casings
